onset	duration	response_time
16.8	n/a	0.228
24.6	n/a	0.280
27.3	n/a	0.359
34.8	n/a	0.217
42.8	n/a	0.240
45.7	n/a	0.307
53.6	n/a	0.223
62.2	n/a	0.264
71.1	n/a	0.249
78.8	n/a	0.242
84.9	n/a	0.289
95.0	n/a	0.264
101.2	n/a	0.265
109.2	n/a	0.249
111.8	n/a	0.334
114.6	n/a	0.297
120.8	n/a	0.215
128.4	n/a	0.248
133.1	n/a	0.263
136.6	n/a	0.293
145.9	n/a	0.226
150.5	n/a	0.256
156.4	n/a	0.252
163.4	n/a	0.237
173.3	n/a	0.220
180.0	n/a	0.276
189.6	n/a	0.364
192.2	n/a	0.333
196.6	n/a	0.271
204.3	n/a	0.271
209.3	n/a	0.324
214.0	n/a	0.277
221.0	n/a	0.237
224.8	n/a	0.330
232.2	n/a	0.233
238.7	n/a	0.288
241.1	n/a	0.414
249.6	n/a	0.237
252.1	n/a	0.288
254.7	n/a	0.239
263.3	n/a	0.308
269.1	n/a	0.235
278.5	n/a	0.210
284.7	n/a	0.315
290.8	n/a	0.240
296.6	n/a	0.294
