onset	duration	trial_type	trial_number	event_type	cue_to_participant	stimulus_type	time_until_response	rated_success_of_regulation	onset_uncorrected
0.011	10.014	Instruction	-1	Picture	Instruction	n/a	n/a	n/a	29.77
10.041	5.007	ITI	0	Picture	Fixation+	1	14.794	n/a	39.8
15.064	2.006	Cue	0	Picture	Maintain	1	12.771	n/a	44.824
17.07	4.99	Pic	0	Picture	IAPS_26	1	7.781	n/a	46.83
22.06	2.006	Blank	0	Picture	BLANK	1	5.775	n/a	51.82
29.842	n/a	ConfirmRating	0	Response	n/a	1	n/a	6	59.601
29.869	6.002	ITI	1	Picture	Fixation+	2	12.339	n/a	59.628
35.887	2.006	Cue	1	Picture	Enhance	2	10.316	n/a	65.647
37.893	4.99	Pic	1	Picture	IAPS_36	2	5.326	n/a	67.653
42.883	2.006	Blank	1	Picture	BLANK	2	3.32	n/a	72.643
48.209	n/a	ConfirmRating	1	Response	n/a	2	n/a	3	77.969
48.238	4.012	ITI	2	Picture	Fixation+	3	11.988	n/a	77.998
52.267	2.006	Cue	2	Picture	Suppress	3	9.965	n/a	82.026
54.273	4.99	Pic	2	Picture	IAPS_01	3	4.975	n/a	84.032
59.263	2.006	Blank	2	Picture	BLANK	3	2.969	n/a	89.022
64.238	n/a	ConfirmRating	2	Response	n/a	3	n/a	0	93.997
64.27	5.007	ITI	3	Picture	Fixation+	4	11.286	n/a	94.029
69.293	2.006	Cue	3	Picture	Maintain	4	9.263	n/a	99.053
71.299	4.99	Pic	3	Picture	IAPS_46	4	4.273	n/a	101.059
76.29	2.006	Blank	3	Picture	BLANK	4	2.267	n/a	106.049
80.563	n/a	ConfirmRating	3	Response	n/a	4	n/a	6	110.322
80.583	5.007	ITI	4	Picture	Fixation+	4	10.577	n/a	110.343
85.607	2.006	Cue	4	Picture	Maintain	4	8.555	n/a	115.366
87.613	4.99	Pic	4	Picture	IAPS_49	4	3.564	n/a	117.372
92.603	2.006	Blank	4	Picture	BLANK	4	1.558	n/a	122.362
96.167	0.017	ConfirmRating	4	Response	n/a	4	-0.017	6	125.927
96.184	6.002	ITI	5	Picture	Fixation+	2	12.77	n/a	125.943
102.202	2.006	Cue	5	Picture	Enhance	2	10.748	n/a	131.962
104.208	4.99	Pic	5	Picture	IAPS_37	2	5.758	n/a	133.968
109.198	2.006	Blank	5	Picture	BLANK	2	3.752	n/a	138.958
114.956	n/a	ConfirmRating	5	Response	n/a	2	n/a	3	144.715
114.984	4.012	ITI	6	Picture	Fixation+	1	11.669	n/a	144.744
119.013	2.006	Cue	6	Picture	Maintain	1	9.647	n/a	148.772
121.019	4.99	Pic	6	Picture	IAPS_27	1	4.657	n/a	150.778
126.009	2.006	Blank	6	Picture	BLANK	1	2.651	n/a	155.769
130.666	n/a	ConfirmRating	6	Response	n/a	1	n/a	5	160.425
130.684	6.002	ITI	7	Picture	Fixation+	3	12.362	n/a	160.444
136.703	2.006	Cue	7	Picture	Suppress	3	10.339	n/a	166.462
138.708	4.99	Pic	7	Picture	IAPS_02	3	5.349	n/a	168.468
143.699	2.006	Blank	7	Picture	BLANK	3	3.343	n/a	173.458
149.047	n/a	ConfirmRating	7	Response	n/a	3	n/a	5	178.807
149.07	5.007	ITI	8	Picture	Fixation+	4	11.977	n/a	178.83
154.094	2.006	Cue	8	Picture	Maintain	4	9.954	n/a	183.853
156.1	4.99	Pic	8	Picture	IAPS_52	4	4.964	n/a	185.859
161.09	2.006	Blank	8	Picture	BLANK	4	2.958	n/a	190.849
166.054	n/a	ConfirmRating	8	Response	n/a	4	n/a	6	195.814
166.08	6.002	ITI	9	Picture	Fixation+	1	11.731	n/a	195.839
172.098	2.006	Cue	9	Picture	Maintain	1	9.709	n/a	201.857
174.104	4.99	Pic	9	Picture	IAPS_28	1	4.719	n/a	203.863
179.094	2.006	Blank	9	Picture	BLANK	1	2.712	n/a	208.854
183.813	n/a	ConfirmRating	9	Response	n/a	1	n/a	6	213.572
183.836	5.007	ITI	10	Picture	Fixation+	2	13.637	n/a	213.595
188.859	2.006	Cue	10	Picture	Enhance	2	11.614	n/a	218.619
190.865	4.99	Pic	10	Picture	IAPS_38	2	6.624	n/a	220.625
195.856	2.006	Blank	10	Picture	BLANK	2	4.618	n/a	225.615
202.479	n/a	ConfirmRating	10	Response	n/a	2	n/a	2	232.239
202.504	4.012	ITI	11	Picture	Fixation+	3	11.511	n/a	232.263
206.532	2.006	Cue	11	Picture	Suppress	3	9.488	n/a	236.292
208.538	4.99	Pic	11	Picture	IAPS_03	3	4.498	n/a	238.298
213.528	2.006	Blank	11	Picture	BLANK	3	2.492	n/a	243.288
218.026	n/a	ConfirmRating	11	Response	n/a	3	n/a	5	247.786
218.054	6.002	ITI	12	Picture	Fixation+	2	11.22	n/a	247.814
224.072	2.006	Cue	12	Picture	Enhance	2	9.197	n/a	253.832
226.078	4.99	Pic	12	Picture	IAPS_39	2	4.207	n/a	255.838
231.069	2.006	Blank	12	Picture	BLANK	2	2.201	n/a	260.828
235.276	n/a	ConfirmRating	12	Response	n/a	2	n/a	0	265.035
235.296	5.007	ITI	13	Picture	Fixation+	1	10.668	n/a	265.056
240.32	2.006	Cue	13	Picture	Maintain	1	8.646	n/a	270.079
242.326	4.99	Pic	13	Picture	IAPS_29	1	3.656	n/a	272.085
247.316	2.006	Blank	13	Picture	BLANK	1	1.65	n/a	277.075
250.972	n/a	ConfirmRating	13	Response	n/a	1	n/a	5	280.731
250.996	4.012	ITI	14	Picture	Fixation+	4	12.944	n/a	280.756
255.025	2.006	Cue	14	Picture	Maintain	4	10.921	n/a	284.784
257.031	4.99	Pic	14	Picture	IAPS_55	4	5.931	n/a	286.79
262.021	2.006	Blank	14	Picture	BLANK	4	3.925	n/a	291.781
267.952	n/a	ConfirmRating	14	Response	n/a	4	n/a	7	297.712
267.973	5.007	ITI	15	Picture	Fixation+	3	12.978	n/a	297.732
272.996	2.006	Cue	15	Picture	Suppress	3	10.956	n/a	302.756
275.002	4.99	Pic	15	Picture	IAPS_04	3	5.965	n/a	304.762
279.993	2.006	Blank	15	Picture	BLANK	3	3.959	n/a	309.752
285.958	n/a	ConfirmRating	15	Response	n/a	3	n/a	2	315.717
285.977	6.002	ITI	16	Picture	Fixation+	2	12.398	n/a	315.737
291.996	2.006	Cue	16	Picture	Enhance	2	10.376	n/a	321.755
294.002	4.99	Pic	16	Picture	IAPS_40	2	5.386	n/a	323.761
298.992	2.006	Blank	16	Picture	BLANK	2	3.38	n/a	328.751
304.378	n/a	ConfirmRating	16	Response	n/a	2	n/a	5	334.137
304.396	6.002	ITI	17	Picture	Fixation+	1	10.883	n/a	334.156
310.415	2.006	Cue	17	Picture	Maintain	1	8.861	n/a	340.174
312.421	4.99	Pic	17	Picture	IAPS_30	1	3.87	n/a	342.18
317.411	2.006	Blank	17	Picture	BLANK	1	1.864	n/a	347.17
321.281	n/a	ConfirmRating	17	Response	n/a	1	n/a	6	351.041
321.307	4.012	ITI	18	Picture	Fixation+	3	10.812	n/a	351.066
325.336	2.006	Cue	18	Picture	Suppress	3	8.789	n/a	355.095
327.341	4.99	Pic	18	Picture	IAPS_05	3	3.799	n/a	357.101
332.332	2.006	Blank	18	Picture	BLANK	3	1.793	n/a	362.091
336.131	n/a	ConfirmRating	18	Response	n/a	3	n/a	3	365.89
336.161	5.007	ITI	19	Picture	Fixation+	4	11.619	n/a	365.921
341.185	2.006	Cue	19	Picture	Maintain	4	9.596	n/a	370.944
343.191	4.99	Pic	19	Picture	IAPS_58	4	4.606	n/a	372.95
348.181	2.006	Blank	19	Picture	BLANK	4	2.6	n/a	377.94
352.787	n/a	ConfirmRating	19	Response	n/a	4	n/a	6	382.546
352.807	6.002	ITI	20	Picture	Fixation+	4	11.85	n/a	382.566
358.825	2.006	Cue	20	Picture	Maintain	4	9.828	n/a	388.584
360.831	4.99	Pic	20	Picture	IAPS_47	4	4.838	n/a	390.59
365.821	2.006	Blank	20	Picture	BLANK	4	2.832	n/a	395.58
370.658	n/a	ConfirmRating	20	Response	n/a	4	n/a	7	400.418
370.678	5.007	ITI	21	Picture	Fixation+	3	11.706	n/a	400.438
375.702	2.006	Cue	21	Picture	Suppress	3	9.683	n/a	405.461
377.708	4.99	Pic	21	Picture	IAPS_06	3	4.693	n/a	407.467
382.698	2.006	Blank	21	Picture	BLANK	3	2.687	n/a	412.457
387.391	n/a	ConfirmRating	21	Response	n/a	3	n/a	2	417.15
387.423	4.012	ITI	22	Picture	Fixation+	1	10.4	n/a	417.182
391.452	2.006	Cue	22	Picture	Maintain	1	8.377	n/a	421.211
393.458	4.99	Pic	22	Picture	IAPS_16	1	3.387	n/a	423.217
398.448	2.006	Blank	22	Picture	BLANK	1	1.381	n/a	428.207
401.835	n/a	ConfirmRating	22	Response	n/a	1	n/a	0	431.594
401.863	4.012	ITI	23	Picture	Fixation+	2	12.617	n/a	431.622
405.892	2.006	Cue	23	Picture	Enhance	2	10.595	n/a	435.651
407.898	4.99	Pic	23	Picture	IAPS_41	2	5.604	n/a	437.657
412.888	2.006	Blank	23	Picture	BLANK	2	3.599	n/a	442.647
418.492	n/a	ConfirmRating	23	Response	n/a	2	n/a	3	448.252
418.525	5.007	ITI	24	Picture	Fixation+	1	12.212	n/a	448.284
423.548	2.006	Cue	24	Picture	Maintain	1	10.189	n/a	453.307
425.554	4.99	Pic	24	Picture	IAPS_17	1	5.199	n/a	455.313
430.544	2.006	Blank	24	Picture	BLANK	1	3.193	n/a	460.304
435.743	n/a	ConfirmRating	24	Response	n/a	1	n/a	6	465.502
435.767	4.012	ITI	25	Picture	Fixation+	2	11.061	n/a	465.526
439.795	2.006	Cue	25	Picture	Enhance	2	9.039	n/a	469.555
441.801	4.99	Pic	25	Picture	IAPS_42	2	4.049	n/a	471.561
446.791	2.006	Blank	25	Picture	BLANK	2	2.043	n/a	476.551
450.84	n/a	ConfirmRating	25	Response	n/a	2	n/a	3	480.599
450.87	6.002	ITI	26	Picture	Fixation+	4	11.844	n/a	480.629
456.888	2.006	Cue	26	Picture	Maintain	4	9.822	n/a	486.647
458.894	4.99	Pic	26	Picture	IAPS_50	4	4.831	n/a	488.653
463.884	2.006	Blank	26	Picture	BLANK	4	2.825	n/a	493.644
468.716	n/a	ConfirmRating	26	Response	n/a	4	n/a	7	498.475
468.742	5.007	ITI	27	Picture	Fixation+	3	11.036	n/a	498.501
473.765	2.006	Cue	27	Picture	Suppress	3	9.013	n/a	503.524
475.771	4.99	Pic	27	Picture	IAPS_07	3	4.023	n/a	505.531
480.761	2.006	Blank	27	Picture	BLANK	3	2.017	n/a	510.521
484.784	n/a	ConfirmRating	27	Response	n/a	3	n/a	2	514.544
484.807	5.007	ITI	28	Picture	Fixation+	2	10.818	n/a	514.566
489.83	2.006	Cue	28	Picture	Enhance	2	8.795	n/a	519.589
491.836	4.99	Pic	28	Picture	IAPS_43	2	3.805	n/a	521.595
496.826	2.006	Blank	28	Picture	BLANK	2	1.799	n/a	526.586
500.631	n/a	ConfirmRating	28	Response	n/a	2	n/a	3	530.39
500.656	4.012	ITI	29	Picture	Fixation+	3	11.05	n/a	530.415
504.684	2.006	Cue	29	Picture	Suppress	3	9.027	n/a	534.444
506.69	4.99	Pic	29	Picture	IAPS_08	3	4.037	n/a	536.45
511.681	2.006	Blank	29	Picture	BLANK	3	2.031	n/a	541.44
515.718	n/a	ConfirmRating	29	Response	n/a	3	n/a	2	545.477
515.742	15.004	Rest	29	Picture	Rest	n/a	-15.029	n/a	545.502
530.763	5.007	ITI	30	Picture	Fixation+	4	12.851	n/a	560.522
535.786	2.006	Cue	30	Picture	Maintain	4	10.828	n/a	565.545
537.792	4.99	Pic	30	Picture	IAPS_53	4	5.838	n/a	567.552
542.782	2.006	Blank	30	Picture	BLANK	4	3.832	n/a	572.542
548.62	n/a	ConfirmRating	30	Response	n/a	4	n/a	7	578.38
